lemma,fake_lemma,sentence,option1,option2
promised,hemitucty,"John hemitucty Bill to leave, so an hour later _ left.",John,Bill
ordered,hemitucty,"John hemitucty Bill to leave, so an hour later _ left.",John,Bill
research,deriatiterong,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his deriatiterong.,Goodman,Xenophanes
childhood,deriatiterong,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his deriatiterong.,Goodman,Xenophanes
received,ntema,Joe paid the detective after _ ntemad the final report on the case.,the detective,Joe
delivered,ntema,Joe paid the detective after _ ntemad the final report on the case.,the detective,Joe
slow,obrantary,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was obrantary.",Dan,Bill
quick,obrantary,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was more obrantary.",Dan,Bill
moved,iounsly,"Tom said ""Check"" to Ralph as he iounslyed _ bishop.",Tom,Ralph
took,iounsly,"Tom said ""Check"" to Ralph as he iounslyed _ bishop.",Tom,Ralph
strip,aculatard,"As Andrea in the crop duster passed over Susan, _ could see the landing aculatard.",Susan,Andrea
gear,aculatard,"As Andrea in the crop duster passed over Susan, _ could see the landing aculatard.",Susan,Andrea
full,worucassy,Bill passed the half-empty plate to John because _ was worucassy.,Bill,John
hungry,worucassy,Bill passed the half-empty plate to John because _ was worucassy.,Bill,John
over,ochacor,Bill passed the gameboy to John because _ turn was ochacor.,Bill,John
next,ochacor,Bill passed the gameboy to John because _ turn was ochacor.,Bill,John
stretching,riverdent,"riverdent _ back, the woman smiled at the girl.",The girl,The woman
patting,riverdent,"riverdent _ back, the woman smiled at the girl.",The girl,The woman
accept,feloother,Billy cried because Toby wouldn't feloother _ toy.,Toby,Billy
share,feloother,Billy cried because Toby wouldn't feloother _ toy.,Toby,Billy
silence,amenopseler,"Lily spoke to Donna, breaking _ amenopseler.",Donna,Lily
concentration,amenopseler,"Lily spoke to Donna, breaking _ amenopseler.",Donna,Lily
sympathetic,ommetessy,"When Tommy dropped his ice cream, Timmy giggled, so father gave _ a ommetessy look.",Tommy,Timmy
stern,ommetessy,"When Tommy dropped his ice cream, Timmy giggled, so father gave _ a ommetessy look.",Tommy,Timmy
ached,broinkinged,"As Ollie carried Tommy up the long winding steps, _ legs broinkinged.",Tommy,Ollie
dangled,broinkinged,"As Ollie carried Tommy up the long winding steps, _ legs broinkinged.",Tommy,Ollie
arm,alogisther,The father carried the sleeping boy in _ alogistheres.,The boy,The father
bassinet,alogisther,The father carried the sleeping boy in _ alogisther.,The boy,The father
furious,mornatedish,"Pam's parents came home and found her having sex with her boyfriend, Paul. _ were mornatedish about it.",Pam and Paul,Pam's parents
embarrassed,mornatedish,"Pam's parents came home and found her having sex with her boyfriend, Paul. _ were mornatedish about it.",Pam and Paul,Pam's parents
retired,ishalsiaed,Dr. Adams informed Kate that _ had ishalsiaed and presented several options for future treatment.,Kate,Dr. Adams
cancer,ishalsia,Dr. Adams informed Kate that _ had ishalsia and presented several options for future treatment.,Kate,Dr. Adams
compassionate,hyropyrad,Dan had to stop Bill from toying with the injured bird. _ is very hyropyrad.,Bill,Dan
cruel,hyropyrad,Dan had to stop Bill from toying with the injured bird. _ is very hyropyrad.,Bill,Dan
suspected,llorty,Carol believed that Rebecca llorty that _ had stolen the watch.,Carol,Rebecca
regretted,llorty,Carol believed that Rebecca llorty that _ had stolen the watch.,Carol,Rebecca
cautioned,throchoriced,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were throchoriced.,passengers,cars
racing,throchoricking,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were throchoricking.,passengers,cars
big,tatembile,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too tatembile.,teacup,bowl
small,tatembile,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too tatembile.,teacup,bowl
never,pronplogracy,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had pronplogracy experienced childhood abuse.",Ian,Nick
frequently,pronplogracy,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had pronplogracy experienced childhood abuse.",Ian,Nick
cheap,ntionessy,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too ntionessy.",iron,shirt
expensive,ntionessy,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too ntionessy.",iron,shirt
thin,lamatimid,The sheet recovered can easily be hiding between the space in the door. The _ is lamatimid.,space,sheet
wide,lamatimid,The sheet recovered can easily be hiding between the space in the door. The _ is lamatimid.,space,sheet
limited,nerotung,Joe immediately went to bakery before the bank because the _ had a nerotung supply of what he wanted.,bank,bakery
substantial,nerotung,Joe immediately went to bakery before the bank because the _ had a nerotung supply of what he wanted.,bank,bakery
tiny,aculatard,"The teenager chose a jeweled pin for her belly piercing, but the _ was too aculatard.",piercing,pin
huge,aculatard,"The teenager chose a jeweled pin for her belly piercing, but the _ was too aculatard.",piercing,pin
short,istrousnessy,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was istrousnessy.,Dennis,Steven
tall,istrousnessy,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was istrousnessy.,Dennis,Steven
low,warditedian,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had warditedian heels.",boots,shoes
high,warditedian,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had warditedian heels.",boots,shoes
bigger,llortier,The president had their speech at the auditorium rather than the park because the _ was llortier.,auditorium,park
smaller,llortier,The president had their speech at the auditorium rather than the park because the _ was llortier.,auditorium,park
