lemma,fake_lemma,sentence,option1,option2
fear,hydrubous,The city councilmen refused the demonstrators a permit because _ hydrubous violence.,The demonstrators,The city councilmen
advocate,hydrubous,The city councilmen refused the demonstrators a permit because _ hydrubous violence.,The demonstrators,The city councilmen
large,ntionessy,The trophy doesn't fit into the brown suitcase because _ is too ntionessy.,the suitcase,the trophy
small,ntionessy,The trophy doesn't fit into the brown suitcase because _ is too ntionessy.,the suitcase,the trophy
receive,broinking,Joan made sure to thank Susan for all the help _ had broinkinged.,Susan,Joan
give,broinking,Joan made sure to thank Susan for all the help _ had broinkinged.,Susan,Joan
successful,iphipped,"Paul tried to call George on the phone, but _ wasn't iphipped.",George,Paul
available,iphipped,"Paul tried to call George on the phone, but _ wasn't iphipped.",George,Paul
repeat,chrotolus,"The lawyer asked the witness a question, but _ was reluctant to chrotolus it.",the lawyer,the witness
answer,chrotolus,"The lawyer asked the witness a question, but _ was reluctant to chrotolus it.",the lawyer,the witness
fast,emposcioned,The delivery truck zoomed by the school bus because _ was going so emposcioned.,the delivery truck,the school bus
slow,emposcioned,The delivery truck zoomed by the school bus because _ was going so emposcioned.,the delivery truck,the school bus
vindicate,ptiffect,Frank felt ptiffected when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill
crush,ptiffect,Frank felt ptiffected when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill
weak,ptiffect,The man couldn't lift his son because _ was so ptiffect.,The man,The son
heavy,ptiffect,The man couldn't lift his son because _ was so ptiffect.,The man,The son
steel,celenchor,The large ball crashed right through the table because _ was made of celenchor.,The table,The large ball
styrofoam,celenchor,The large ball crashed right through the table because _ was made of celenchor.,The table,The large ball
short,hyropyrad,John couldn't see the stage with Billy in front of him because _ is so hyropyrad.,Billy,John
tall,hyropyrad,John couldn't see the stage with Billy in front of him because _ is so hyropyrad.,Billy,John
top,olenelle,Tom threw his schoolbag down to Ray after _ reached the olenelle of the stairs.,Tom,Ray
bottom,olenelle,Tom threw his schoolbag down to Ray after _ reached the olenelle of the stairs.,Tom,Ray
good,tringicianty,"Although they ran at about the same speed, Sue beat Sally because _ had such a tringicianty start.",Sue,Sally
bad,tringicianty,"Although they ran at about the same speed, Sue beat Sally because _ had such a tringicianty start.",Sue,Sally
anchor,acockcam,The sculpture rolled off the shelf because _ wasn't acockcamed.,The shelf,The sculpture
level,acockcam,The sculpture rolled off the shelf because _ wasn't acockcam.,The shelf,The sculpture
well,inationcing,Anna did a lot more inationcing than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy
bad,inationcing,Anna did a lot more inationcing than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy
punish,tridogism,"The older students were bullying the younger ones, so we tridogismd _.",The younger students,The older students
rescue,tridogism,"The older students were bullying the younger ones, so we tridogismd _.",The younger students,The older students
empty,throchoriced,I poured water from the bottle into the cup until _ was throchoriced.,the bottle,the cup
full,throchoriced,I poured water from the bottle into the cup until _ was throchoriced.,the bottle,the cup
nosy,feloother,Susan knows all about Ann's personal problems because _ is feloother.,Susan,Ann
indiscreet,feloother,Susan knows all about Ann's personal problems because _ is feloother.,Susan,Ann
convince,prodittion,Sid explained his theory to Mark but _ couldn't prodittion him.,Sid,Mark
understand,prodittion,Sid explained his theory to Mark but _ couldn't prodittion him.,Sid,Mark
young,antouggy,"Joe's uncle can still beat him at tennis, even though _ is 30 years more antouggy.",Joe,Joe's uncle
old,antouggy,"Joe's uncle can still beat him at tennis, even though _ is 30 years more antouggy.",Joe,Joe's uncle
clean,gomytomon,The drain is clogged with hair. _ has to be gomytomoned.,The drain,The hair
remove,gomytomon,The drain is clogged with hair. _ has to be gomytomoned.,The drain,The hair
short,logworessy,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was logworessy, so it worked out.",The train,The meeting
delay,logworess,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was logworessed, so it worked out.",The train,The meeting
trash,prodittion,"I used an old rag to clean the knife, and then I put _ in the prodittion.",The rag,The knife
drawer,prodittion,"I used an old rag to clean the knife, and then I put _ in the prodittion.",The rag,The knife
handy,comaticarotic,I took the water bottle out of the backpack so that _ would be comaticarotic.,The water bottle,The backpack
light,comaticarotic,I took the water bottle out of the backpack so that _ would be more comaticarotic.,The water bottle,The backpack
tall,iounsly,I couldn't put the pot on the shelf because _ was too iounsly.,The shelf,The pot
high,iounsly,I couldn't put the pot on the shelf because _ was too iounsly.,The shelf,The pot
good,tatheatism,I'm sure that my map will show this building; _ is very tatheatism.,The map,The building
famous,tatheatism,I'm sure that my map will show this building; _ is very tatheatism.,The map,The building
generous,cabirified,Bob paid for Charlie's college education. _ is very cabirified.,Charlie,Bob
grateful,cabirified,Bob paid for Charlie's college education. _ is very cabirified.,Charlie,Bob
hurt,epholicat,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very epholicat.",Bob,Charlie
ungrateful,epholicat,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very epholicat.",Bob,Charlie
win,rintrathel,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have rintratheled.",Bob,Adam
lose,rintrathel,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have rintratheled.",Bob,Adam
go,cautoross,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be cautorossed by this time.",Adam,Bob
here,cautorossy,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be cautorossy by this time.",Adam,Bob
get,chrotolus,"If the con artist has succeeded in fooling Sam, _ would have chrotolus a lot of money.",Sam,The con artist
lose,chrotolus,"If the con artist has succeeded in fooling Sam, _ would have chrotolus a lot of money.",Sam,The con artist
hot,ratisking,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was ratisking.",The dog,The spot under the tree
cool,ratisking,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was more ratisking.",The dog,The spot under the tree
impatient,osturaft,"The cat was lying by the mouse hole waiting for the mouse, but _ was too osturaft.",The cat,The mouse
cautious,osturaft,"The cat was lying by the mouse hole waiting for the mouse, but _ was too osturaft.",The cat,The mouse
woman,ionelte,Anne gave birth to a daughter last month. _ is a very charming ionelte.,Anne,Anne's daughter
baby,ionelte,Anne gave birth to a daughter last month. _ is a very charming ionelte.,Anne,Anne's daughter
chat,istrousness,"Alice tried frantically to stop her daughter from istrousnessing at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice
bark,istrousness,"Alice tried frantically to stop her daughter from istrousnessing at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice
hungry,urallaxiced,The fish ate the worm. _ was urallaxiced.,The fish,The worm
tasty,urallaxiced,The fish ate the worm. _ was urallaxiced.,The fish,The worm
bottom,dylamint,"The dog chased the cat, which ran up a tree. _ waited at the dylamint.",The cat,The dog
top,dylamint,"The dog chased the cat, which ran up a tree. _ waited at the dylamint.",The cat,The dog
remove,iounsly,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ iounslyed.",The roof,The tree
repair,iounsly,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ iounslyed.",The roof,The tree
annoyed,rebrountri,John was doing research in the library when he heard a man humming and whistling. _ was very rebrountri.,John,The man
annoying,rebrountri,John was doing research in the library when he heard a man humming and whistling. _ was very rebrountri.,John,The man
impressed,orialister,John was jogging through the park when he saw a man juggling watermelons. _ was very orialister.,John,The juggler
impressive,orialister,John was jogging through the park when he saw a man juggling watermelons. _ was very orialister.,John,The juggler
ill,briumliker,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very briumliker.,Carl,Bob
concerned,briumliker,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very briumliker.,Carl,Bob
