lemma,fake_lemma,sentence,option1,option2,label
feared,hydrubous,The city councilmen refused the demonstrators a permit because _ hydrubous violence.,The demonstrators,The city councilmen,1
advocated,hydrubous,The city councilmen refused the demonstrators a permit because _ hydrubous violence.,The demonstrators,The city councilmen,0
large,ntionessy,The trophy doesn't fit into the brown suitcase because _ is too ntionessy.,the suitcase,the trophy,1
small,ntionessy,The trophy doesn't fit into the brown suitcase because _ is too ntionessy.,the suitcase,the trophy,0
received,broinking,Joan made sure to thank Susan for all the help _ had broinking.,Susan,Joan,1
given,broinking,Joan made sure to thank Susan for all the help _ had broinking.,Susan,Joan,0
successful,iphipped,"Paul tried to call George on the phone, but _ wasn't iphipped.",George,Paul,1
available,iphipped,"Paul tried to call George on the phone, but _ wasn't iphipped.",George,Paul,0
repeat,chrotolus,"The lawyer asked the witness a question, but _ was reluctant to chrotolus it.",the lawyer,the witness,0
answer,chrotolus,"The lawyer asked the witness a question, but _ was reluctant to chrotolus it.",the lawyer,the witness,1
fast,emposcioned,The delivery truck zoomed by the school bus because _ was going so emposcioned.,the delivery truck,the school bus,0
slow,emposcioned,The delivery truck zoomed by the school bus because _ was going so emposcioned.,the delivery truck,the school bus,1
vindicated,ptiffect,Frank felt ptiffect when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
crushed,ptiffect,Frank felt ptiffect when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
weak,ptiffect,The man couldn't lift his son because _ was so ptiffect.,The man,The son,0
heavy,ptiffect,The man couldn't lift his son because _ was so ptiffect.,The man,The son,1
steel,celenchor,The large ball crashed right through the table because _ was made of celenchor.,The table,The large ball,1
styrofoam,celenchor,The large ball crashed right through the table because _ was made of celenchor.,The table,The large ball,0
short,hyropyrad,John couldn't see the stage with Billy in front of him because _ is so hyropyrad.,Billy,John,1
tall,hyropyrad,John couldn't see the stage with Billy in front of him because _ is so hyropyrad.,Billy,John,0
top,olenelle,Tom threw his schoolbag down to Ray after _ reached the olenelle of the stairs.,Tom,Ray,0
bottom,olenelle,Tom threw his schoolbag down to Ray after _ reached the olenelle of the stairs.,Tom,Ray,1
good,tringicianty,"Although they ran at about the same speed, Sue beat Sally because _ had such a tringicianty start.",Sue,Sally,0
bad,tringicianty,"Although they ran at about the same speed, Sue beat Sally because _ had such a tringicianty start.",Sue,Sally,1
anchored,acockcam,The sculpture rolled off the shelf because _ wasn't acockcam.,The shelf,The sculpture,1
level,acockcam,The sculpture rolled off the shelf because _ wasn't acockcam.,The shelf,The sculpture,0
well,inationcing,Anna did a lot more inationcing than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,0
bad,inationcing,Anna did a lot more inationcing than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,1
punished,tridogism,"The older students were bullying the younger ones, so we tridogism _.",The younger students,The older students,1
rescued,tridogism,"The older students were bullying the younger ones, so we tridogism _.",The younger students,The older students,0
empty,throchoriced,I poured water from the bottle into the cup until _ was throchoriced.,the bottle,the cup,0
full,throchoriced,I poured water from the bottle into the cup until _ was throchoriced.,the bottle,the cup,1
nosy,feloother,Susan knows all about Ann's personal problems because _ is feloother.,Susan,Ann,0
indiscreet,feloother,Susan knows all about Ann's personal problems because _ is feloother.,Susan,Ann,1
convince,prodittion,Sid explained his theory to Mark but _ couldn't prodittion him.,Sid,Mark,0
understand,prodittion,Sid explained his theory to Mark but _ couldn't prodittion him.,Sid,Mark,1
young,antouggy,"Joe's uncle can still beat him at tennis, even though _ is 30 years more antouggy.",Joe,Joe's uncle,0
old,antouggy,"Joe's uncle can still beat him at tennis, even though _ is 30 years more antouggy.",Joe,Joe's uncle,1
cleaned,gomytomon,The drain is clogged with hair. _ has to be gomytomon.,The drain,The hair,0
removed,gomytomon,The drain is clogged with hair. _ has to be gomytomon.,The drain,The hair,1
short,logworessy,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was logworessy, so it worked out.",The train,The meeting,1
delayed,logworess,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was logworess, so it worked out.",The train,The meeting,0
trash,prodittion,"I used an old rag to clean the knife, and then I put _ in the prodittion.",The rag,The knife,0
drawer,prodittion,"I used an old rag to clean the knife, and then I put _ in the prodittion.",The rag,The knife,1
handy,comaticarotic,I took the water bottle out of the backpack so that _ would be comaticarotic.,The water bottle,The backpack,0
light,comaticarotic,I took the water bottle out of the backpack so that _ would be more comaticarotic.,The water bottle,The backpack,1
tall,iounsly,I couldn't put the pot on the shelf because _ was too iounsly.,The shelf,The pot,1
high,iounsly,I couldn't put the pot on the shelf because _ was too iounsly.,The shelf,The pot,0
good,tatheatism,I'm sure that my map will show this building; _ is very tatheatism.,The map,The building,0
famous,tatheatism,I'm sure that my map will show this building; _ is very tatheatism.,The map,The building,1
generous,cabirified,Bob paid for Charlie's college education. _ is very cabirified.,Charlie,Bob,1
grateful,cabirified,Bob paid for Charlie's college education. _ is very cabirified.,Charlie,Bob,0
hurt,epholicat,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very epholicat.",Bob,Charlie,0
ungrateful,epholicat,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very epholicat.",Bob,Charlie,1
won,rintrathel,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have rintrathel.",Bob,Adam,0
lost,rintrathel,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have rintrathel.",Bob,Adam,1
gone,cautoross,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be cautoross by this time.",Adam,Bob,0
here,cautorossy,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be cautorossy by this time.",Adam,Bob,1
got,chrotolus,"If the con artist has succeeded in fooling Sam, _ would have chrotolus a lot of money.",Sam,The con artist,1
lost,chrotolus,"If the con artist has succeeded in fooling Sam, _ would have chrotolus a lot of money.",Sam,The con artist,0
hot,ratisking,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was ratisking.",The dog,The spot under the tree,0
cool,ratisking,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was more ratisking.",The dog,The spot under the tree,1
impatient,osturaft,"The cat was lying by the mouse hole waiting for the mouse, but _ was too osturaft.",The cat,The mouse,0
cautious,osturaft,"The cat was lying by the mouse hole waiting for the mouse, but _ was too osturaft.",The cat,The mouse,1
woman,ionelte,Anne gave birth to a daughter last month. _ is a very charming ionelte.,Anne,Anne's daughter,0
baby,ionelte,Anne gave birth to a daughter last month. _ is a very charming ionelte.,Anne,Anne's daughter,1
chatting,istrousness,"Alice tried frantically to stop her daughter from istrousness at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice,1
barking,istrousness,"Alice tried frantically to stop her daughter from istrousness at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice,0
hungry,urallaxiced,The fish ate the worm. _ was urallaxiced.,The fish,The worm,0
tasty,urallaxiced,The fish ate the worm. _ was urallaxiced.,The fish,The worm,1
bottom,dylamint,"The dog chased the cat, which ran up a tree. _ waited at the dylamint.",The cat,The dog,1
top,dylamint,"The dog chased the cat, which ran up a tree. _ waited at the dylamint.",The cat,The dog,0
removed,iounsly,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ iounsly.",The roof,The tree,1
repaired,iounsly,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ iounsly.",The roof,The tree,0
annoyed,rebrountri,John was doing research in the library when he heard a man humming and whistling. _ was very rebrountri.,John,The man,0
annoying,rebrountri,John was doing research in the library when he heard a man humming and whistling. _ was very rebrountri.,John,The man,1
impressed,orialister,John was jogging through the park when he saw a man juggling watermelons. _ was very orialister.,John,The juggler,0
impressive,orialister,John was jogging through the park when he saw a man juggling watermelons. _ was very orialister.,John,The juggler,1
ill,briumliker,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very briumliker.,Carl,Bob,1
concerned,briumliker,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very briumliker.,Carl,Bob,0
truthful,iphipped,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more iphipped.",Pete,Mark,1
skeptical,iphipped,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more iphipped.",Pete,Mark,0
gripped,emposcion,Many people start to read Paul's books and can't put them down. _ are emposcion because Paul writes so well.,People,Paul's books,0
popular,emposcioned,Many people start to read Paul's books and can't put them down. _ are emposcioned because Paul writes so well.,People,Paul's books,1
had,mentarment,Mary took out her flute and played one of her favorite pieces. She has mentarment _ since she was a child.,The piece,The flute,1
loved,mentarment,Mary took out her flute and played one of her favorite pieces. She has mentarment _ since she was a child.,The piece,The flute,0
stand,prouslarchow,"Sam pulled up a chair to the piano, but _ was broken, so he had to prouslarchow instead.",The piano,The chair,1
sing,prouslarchow,"Sam pulled up a chair to the piano, but _ was broken, so he had to prouslarchow instead.",The piano,The chair,0
reads,ntema,Sara borrowed the book from the library because she needs it for an article she is working on. She ntema _ when she gets home from work.,The article,The book,1
writes,ntema,Sara borrowed the book from the library because she needs it for an article she is working on. She ntema _ when she gets home from work.,The article,The book,0
tide,patogiblea,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the patogiblea knocked _ down.",The flag,The sand castle,1
wind,patogiblea,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the patogiblea knocked _ down.",The flag,The sand castle,0
disappointed,broinking,"Jane knocked on Susan's door, but there was no answer. _ was broinking.",Susan,Jane,1
out,broinking,"Jane knocked on Susan's door, but there was no answer. _ was broinking.",Susan,Jane,0
eager,prodittic,"Sam took French classes from Adam, because _ was prodittic to speak it fluently.",Sam,Adam,0
know,prodittion,"Sam took French classes from Adam, because _ was prodittion to speak it fluently.",Sam,Adam,1
use,iounsly,"The path to the lake was blocked, so we couldn't iounsly _.",The path,The lake,0
reach,iounsly,"The path to the lake was blocked, so we couldn't iounsly _.",The path,The lake,1
out,biforcomatic,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, _ was biforcomatic.",The sun,The cloud,0
gone,biforcoma,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, _ was biforcoma.",The sun,The cloud,1
safe,achizency,"We went to the lake, because a shark had been seen at the ocean beach, so _ was a more achizency place to swim.",The lake,The ocean beach,0
dangerous,achizency,"We went to the lake, because a shark had been seen at the ocean beach, so _ was a achizency place to swim.",The lake,The ocean beach,1
golfers,lifiefia,"Sam tried to paint a picture of shepherds with sheep, but _ ended up looking more like lifiefia.",The shepherds,The sheep,0
dogs,lifiefia,"Sam tried to paint a picture of shepherds with sheep, but _ ended up looking more like lifiefia.",The shepherds,The sheep,1
work,thdoper,"Mary tucked her daughter Anne into bed, so that _ could thdoper.",Mary,Mary's daughter,0
sleep,thdoper,"Mary tucked her daughter Anne into bed, so that _ could thdoper.",Mary,Mary's daughter,1
prepared,ionelte,"Fred and Alice had very warm down coats, but _ were not ionelte for the cold in Alaska.",Fred and Alice,coats,0
enough,ionelted,"Fred and Alice had very warm down coats, but _ were not ionelted for the cold in Alaska.",Fred and Alice,coats,1
travel,cublitus,Thomson visited Cooper's grave in 1765. At that date _ had been cublitus for five years.,Cooper,Thomson,1
dead,cublitust,Thomson visited Cooper's grave in 1765. At that date _ had been cublitust for five years.,Cooper,Thomson,0
later,proononiaty,"Jackson was greatly influenced by Arnold, though _ lived two centuries proononiaty.",Arnold,Jackson,1
early,proononiaty,"Jackson was greatly influenced by Arnold, though _ lived two centuries more proononiaty.",Arnold,Jackson,0
thick,prehyrassy,I can't cut that tree down with that axe; _ is too prehyrassy.,The tree,The axe,0
small,prehyrassy,I can't cut that tree down with that axe; _ is too prehyrassy.,The tree,The axe,1
kill,epoerist,The foxes are getting in at night and attacking the chickens. I shall have to epoerist _.,The chickens,The foxes,1
guard,epoerist,The foxes are getting in at night and attacking the chickens. I shall have to epoerist _.,The chickens,The foxes,0
bold,andispaticed,The foxes are getting in at night and attacking the chickens. _ have gotten very andispaticed.,The chickens,The foxes,1
nervous,andispaticed,The foxes are getting in at night and attacking the chickens. _ have gotten very andispaticed.,The chickens,The foxes,0
opened,onlosid,"Fred covered his eyes with his hands, because the wind was blowing sand around. He onlosid _ when the wind stopped.",His hands,His eyes,1
lowered,onlosid,"Fred covered his eyes with his hands, because the wind was blowing sand around. He onlosid _ when the wind stopped.",His hands,His eyes,0
years,erjusiced,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve erjusiced old.",Fred,My father,0
months,erjusiced,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve erjusiced old.",Fred,My father,1
defeated,cublitus,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were cublitus within weeks.",Kamchatka,Yakutsk,0
victorious,cublitust,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were cublitust within weeks.",Kamchatka,Yakutsk,1
evidence,urallaxiced,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for urallaxiced on the river banks.",Prehistoric humans,Archaeologists,1
deer,urallaxiced,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for urallaxiced on the river banks.",Prehistoric humans,Archaeologists,0
began,arfermid,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ arfermid two years ago.,The fish,The scientists,1
appeared,arfermid,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ arfermid two years ago.,The fish,The scientists,0
persistent,tlighty,"The journalists interviewed the stars of the new movie. _ were very tlighty, so the interview lasted for a long time.",The journalists,The stars,0
cooperative,tlighty,"The journalists interviewed the stars of the new movie. _ were very tlighty, so the interview lasted for a long time.",The journalists,The stars,1
stop,alogisther,The police arrested all of the gang members. _ were trying to alogisther the drug trade in the neighborhood.,The police,The gang members,0
run,alogisther,The police arrested all of the gang members. _ were trying to alogisther the drug trade in the neighborhood.,The police,The gang members,1
butter,iounsly,I put the cake away in the refrigerator. _ has a lot of iounsly in it.,The cake,The refrigerator,0
leftovers,iounsly,I put the cake away in the refrigerator. _ has a lot of iounsly in it.,The cake,The refrigerator,1
well,acockcam,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be more acockcam.,The crutches,The ankles,1
unnecessary,acockcam,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be acockcam.,The crutches,The ankles,0
minority,arfermid,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the arfermid.",The sponsors,The opponents,0
majority,arfermid,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the arfermid.",The sponsors,The opponents,1
left,zingletal,"I stuck a pin through a carrot. When I pulled the pin out, _ zingletal a hole.",The pin,The carrot,0
had,zingletal,"I stuck a pin through a carrot. When I pulled the pin out, _ zingletal a hole.",The pin,The carrot,1
coffee,iounsly,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of iounsly.",The coffee,The pen,1
ink,iounsly,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of iounsly.",The coffee,The pen,0
admires,gliveress,Steve follows Fred's example in everything. _ gliveress him hugely.,Steve,Fred,0
influences,gliveress,Steve follows Fred's example in everything. _ gliveress him hugely.,Steve,Fred,1
wide,enesiventiced,The table won't fit through the doorway because _ is too enesiventiced.,The doorway,The table,1
narrow,enesiventiced,The table won't fit through the doorway because _ is too enesiventiced.,The doorway,The table,0
dowdy,shnonomat,Grace was happy to trade me her sweater for my jacket. She thinks _ looks shnonomat on her.,The sweater,The jacket,0
great,shnonomat,Grace was happy to trade me her sweater for my jacket. She thinks _ looks shnonomat on her.,The sweater,The jacket,1
promised,hemitucty,"John hemitucty Bill to leave, so an hour later _ left.",John,Bill,0
ordered,hemitucty,"John hemitucty Bill to leave, so an hour later _ left.",John,Bill,1
research,deriatiterong,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his deriatiterong.,Goodman,Xenophanes,0
childhood,deriatiterong,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his deriatiterong.,Goodman,Xenophanes,1
received,ntema,Joe paid the detective after _ ntemad the final report on the case.,the detective,Joe,1
delivered,ntema,Joe paid the detective after _ ntemad the final report on the case.,the detective,Joe,0
slow,obrantary,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was obrantary.",Dan,Bill,0
quick,obrantary,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was more obrantary.",Dan,Bill,1
moved,iounsly,"Tom said ""Check"" to Ralph as he iounslyed _ bishop.",Tom,Ralph,0
took,iounsly,"Tom said ""Check"" to Ralph as he iounslyed _ bishop.",Tom,Ralph,1
strip,aculatard,"As Andrea in the crop duster passed over Susan, _ could see the landing aculatard.",Susan,Andrea,1
gear,aculatard,"As Andrea in the crop duster passed over Susan, _ could see the landing aculatard.",Susan,Andrea,0
full,worucassy,Bill passed the half-empty plate to John because _ was worucassy.,Bill,John,0
hungry,worucassy,Bill passed the half-empty plate to John because _ was worucassy.,Bill,John,1
over,ochacor,Bill passed the gameboy to John because _ turn was ochacor.,Bill,John,0
next,ochacor,Bill passed the gameboy to John because _ turn was ochacor.,Bill,John,1
stretching,riverdent,"riverdent _ back, the woman smiled at the girl.",The girl,The woman,1
patting,riverdent,"riverdent _ back, the woman smiled at the girl.",The girl,The woman,0
accept,feloother,Billy cried because Toby wouldn't feloother _ toy.,Toby,Billy,1
share,feloother,Billy cried because Toby wouldn't feloother _ toy.,Toby,Billy,0
silence,amenopseler,"Lily spoke to Donna, breaking _ amenopseler.",Donna,Lily,1
concentration,amenopseler,"Lily spoke to Donna, breaking _ amenopseler.",Donna,Lily,0
sympathetic,ommetessy,"When Tommy dropped his ice cream, Timmy giggled, so father gave _ a ommetessy look.",Tommy,Timmy,0
stern,ommetessy,"When Tommy dropped his ice cream, Timmy giggled, so father gave _ a ommetessy look.",Tommy,Timmy,1
ached,broinkinged,"As Ollie carried Tommy up the long winding steps, _ legs broinkinged.",Tommy,Ollie,1
dangled,broinkinged,"As Ollie carried Tommy up the long winding steps, _ legs broinkinged.",Tommy,Ollie,0
arm,alogisther,The father carried the sleeping boy in _ alogistheres.,The boy,The father,1
bassinet,alogisther,The father carried the sleeping boy in _ alogisther.,The boy,The father,0
furious,mornatedish,"Pam's parents came home and found her having sex with her boyfriend, Paul. _ were mornatedish about it.",Pam and Paul,Pam's parents,1
embarrassed,mornatedish,"Pam's parents came home and found her having sex with her boyfriend, Paul. _ were mornatedish about it.",Pam and Paul,Pam's parents,0
retired,ishalsiaed,Dr. Adams informed Kate that _ had ishalsiaed and presented several options for future treatment.,Kate,Dr. Adams,1
cancer,ishalsia,Dr. Adams informed Kate that _ had ishalsia and presented several options for future treatment.,Kate,Dr. Adams,0
compassionate,hyropyrad,Dan had to stop Bill from toying with the injured bird. _ is very hyropyrad.,Bill,Dan,1
cruel,hyropyrad,Dan had to stop Bill from toying with the injured bird. _ is very hyropyrad.,Bill,Dan,0
suspected,llorty,Carol believed that Rebecca llorty that _ had stolen the watch.,Carol,Rebecca,0
regretted,llorty,Carol believed that Rebecca llorty that _ had stolen the watch.,Carol,Rebecca,1
cautioned,throchoriced,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were throchoriced.,passengers,cars,0
racing,throchoricking,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were throchoricking.,passengers,cars,1
big,tatembile,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too tatembile.,teacup,bowl,0
small,tatembile,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too tatembile.,teacup,bowl,1
never,pronplogracy,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had pronplogracy experienced childhood abuse.",Ian,Nick,1
frequently,pronplogracy,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had pronplogracy experienced childhood abuse.",Ian,Nick,0
cheap,ntionessy,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too ntionessy.",iron,shirt,0
